供应链能力矩阵（找齐供应商之前先把「名单」拆成「矩阵」·7维框架·2026-07-03；操作衔接见报告 E 节）,,,,,,,
一、7 个能力维度（同一家厂很少全强——先列维度再回查名单缺哪格）,,,,,,,
维度,一句话判据,报告依据,,,,,
① 工艺 Process,数码印刷(HP Indigo/UV数码)才做得了100张级小单；die-cut/kiss-cut/卷标(需分切收卷)/白墨/烫金开模各是独立能力,A4·A3,,,,,
② 材质 Material,vinyl/BOPP/kraft/全息/可堆肥面材+胶水系统（冷藏冷冻低温服帖性未测——已知缺口）,A3,,,,,
③ 认证 Certification,FSC/BPI/FDA迁移报告+设施级BRCGS/SQF；看「范围」（印刷成品vs原材）不只看logo,A1.5·E阶段5,,,,,
④ 量级经济性 Scale,500–2000张以下只有数码划算；阶梯价逐档要（500→2000总价近持平）；模费单独问,A4.5·A2,,,,,
⑤ 系统对接 Ops,文件自动化处理（能吃批量自动生成稿）+结构化下单接口——自助站命门,E阶段3·E0.5,,,,,
⑥ 商业条款 Commercial,付款条款/Incoterms/设计保密（留底转售=信任事故）/财务健康度,E阶段6,,,,,
⑦ 履约适配 Fulfillment,交期匹配三层拓扑量级分工；HTS归类与关税承担写进PI；索赔条款可仲裁,E阶段7·8,,,,,
,,,,,,,
二、现有名单 × 矩阵覆盖度（●=实证 ◐=有条件/自报 ✗=不对口 ?=未提及未验证）,,,,,,,
供应商,数码印刷,食品接触材质,环保/可堆肥,特殊效果,认证证据强度,Playbook阶段,判定
Stickerhome/Singhong,●实测,?未提,?未提,?未提,◐TÜV报告(FSC/FDA未见编号),3·待发RFQ,唯一可直接发盘；年化仅~$60万·能力边界未知
华鑫美 hxmpackge.com,◐自相矛盾(称Indigo设备表无),◐自报无编号,◐自报无编号,?未提,✗域名/成立年矛盾,2·待补证据,唯一食品级数码卷标候选；红旗未清先交三项编号
hxcustomlabel(金之彩),✗传统凸印,?3M未注FDA,?未提,?未提,?未评估,候补,工艺不对口·做不了经济的<100张短单
Best4U,?未注明,●含BOPP/牛皮,◐kraft非认证,?未提,?未评估,候补,材质面广·资质全部待验证
BookPrintingChina,✗主业图书胶印,✗无食品接触资质,●FSC+BSCI+SMETA+G7,✗不做,●四项可查,合规备选,认证最强但工艺不对口
Canfei 灿飞,?未提,?未提,?未提,●全息防伪专项,?未评估,仅专项询价,单点能力·非全能供应商
上海宇才,◐声称未证实,?未提,?未提,?未提,✗无,未进RFQ池,$0.009系起批噱头·需重新议价验证
实体去重提醒：Shenzhen Gathe(价格锚点)≠Gathe嘉特(不发盘)；上海宇才≠Shenzhen Yucai Packing——发盘前先核清身份,,,,,,,
,,,,,,,
三、矩阵里完全空白的 4 格（0/12）,,,,,,,
空格,现状,指派动作,,,,,
BPI认证可堆肥标签材料,全美在证定制胶粘标签为零(A1.5)·中国侧无人验证,先用EN13432+ASTM声称材料试卖·验证付费意愿再评估·非急,,,,,
食品级HP Indigo数码卷标,0/12确证·华鑫美唯一候选且红旗未清,华南Indigo装机圈层实地RFQ·补第二候选,,,,,
BRCGS/SQF设施认证,0/12被问过——本轮分析盲区而非供应商缺陷,并入阶段5索证清单·成本=多问一句话,,,,,
美国本土POD白牌(4over等),不在中国12家名单内·<100张永久履约层全靠它,4over注册=判死线H1·与中国寻源并行不排后,,,,,
,,,,,,,
四、评分卡 v2 追加项（线上自助下单业态特有；详见报告 E 阶段 2）,,,,,,,
追加项,性质,要点,,,,,
文件自动化处理,计分,埋点文件实测结果单独计分·不与响应速度混算,,,,,
API/系统对接,计分,结构化下单接口(哪怕规范化Excel/Webhook)·无它智能路由=人肉,,,,,
认证看范围,计分细化,BPI须覆盖含油墨涂层成品·FDA报告写明测试对象,,,,,
BRCGS/SQF设施认证,食品客户前置门槛,GFSI认可设施级体系·与FDA材料报告互补,,,,,
供应商集中度,风险减分,仅1家可发盘=单一供应商风险·70/30双供应商暂系空转条款,,,,,
客户设计保密,一票否决级,留底/转售=DTC信任事故·写进E1询盘信与PI第10项,,,,,
,,,,,,,
五、扩充池候选覆盖度（2026-07-03 线上初筛级·仅 PASS 且 ≥55 分并入；列同第二节：●实证 ◐自报/间接 ✗无 ?未知）,,,,,,,
