"供应商×白空间匹配矩阵（数据截至 2026-07-02·资质实核）·✅能/◐部分/✕不能/?未知·列：①环保+食品 ②可变数据 ③饮品合规 ④环保背书·总结论：现有名单仅Stickerhome可直接进RFQ池，白空间需求需按""能力缺口""新增供应商"

一、中国 shortlist（12家）
供应商,①环保+食品,②可变数据,③饮品合规,④环保背书,结论,核查要点,进入RFQ条件/下一步
Stickerhome（=中山Singhong，同一店铺）,?,◐,?,✕,唯一直接进RFQ池,"全名单唯一有平台级可验证交易数据：Alibaba近6个月1,136单、US$30万+、96.0%准时、4.9分、TÜV Rheinland Verified；年化仅~$60万规模、认证/材料能力未知",发首轮RFQ（3寸圆+哑膜三档）；索营业执照+TÜV评估报告
华鑫美 Huaxinmei（hxmpackge.com）,◐?,◐?,◐?,✕,有条件进入,"首页宣称HP Indigo但About设备清单无任何Indigo型号（自相矛盾）；域名2022-12注册 vs 自称2005成立；页面残留AI生成痕迹；FSC/FDA无编号（FSC库检索未完成，属""未证实""非""证伪""）；CBD/电子烟品类与食品定位冲突",先交FSC-C编号+FDA迁移测试报告号+Indigo序列号照片
hxcustomlabel（深圳金之彩）,✕,◐,◐,✕,中批量特定品类询价,传统UV轮转凸印（诚实列出、无数码机），有流水号/酒标/高低温品类，做不了经济的<100张短单,按品类询价
Stickers Manufacturer,✕,◐,?,✕,候补,自称HP Indigo，纯贴纸厂但无第三方认证,索设备/认证证据
Best4U,✕,?,?,✕,候补,MOQ500、材质最全（含BOPP/牛皮），无认证证据,补尽调
上海宇才,✕,?,◐,✕,候补,有酒标/卷标产品页但无任何认证与设备证据；$0.009系起批噱头,补尽调
Shenzhen Yucai Packing,?,?,?,✕,候补,仅Alibaba店内信息，与上海宇才勿混,补尽调
BookPrintingChina,✕,?,✕,◐,合规重客户备选,FSC+大豆墨图标、认证最全，但主业图书印刷、无食品接触,按需询价
嘉特 Gathe,✕,✕,✕,✕,不发盘,主业包装盒、标签副业，无认证无卷标无数码；实测价为声称2–4倍,—
Canfei 灿飞,✕,✕,✕,✕,仅防伪需求,全息防伪专精，防伪序列号≠可变数据场景,按需询价
Jabay,✕,✕,✕,✕,不发盘,主业拼图桌游，行业错配,—
YYOYIART,✕,✕,✕,✕,不发盘,MOQ25-50但纯手帐装饰品类，行业错配,—

二、扩展候选核查（不在原shortlist）
候选,结论,核查要点,复议条件
LabelPrintingChina（深圳，自报48h冰桶+FDA+数码小单）,剔除,三重红旗：全站无法定公司名（工商无从核起）+ ImportYeti/Panjiva查无其名称或地址的对美提单 + 域名2018-10注册（RDAP确证）vs 自称18年经验,对方提交法定主体名+真实提单/客户证据
惠州YITO,certified卖点不合格,"BPI库（带阳性对照：同城YangRui持证可查）与DIN CERTCO（阳性对照Novamont正常）均查无；官网措辞本身是""in line with""非""certified""——美国市场卖certified compostable有FTC Green Guides风险",提供上游持证树脂（BASF ecovio/NatureWorks）或持证代工厂证书链、覆盖具体面材SKU且允许转授权
Biopacktech（江门；与深圳Kingcolor非同一主体）,certified卖点不合格,"BPI/DIN均查无；网站措辞已弱化为""can support…certification needs""，接近承认无自有证书",同上
Kingcolor / dcolorpaper（深圳热敏纸厂）,有条件（仅热敏纸）,网站无任何可堆肥宣称；自称1993年成立/隶属Guangdong Tango集团为weak,索FSC证书编号（注意可能挂母公司名下）
上海Jinya Label,移除,"经核实为不干胶""材料""生产商，非HP Indigo数码印刷厂",可留作材料采购线索

三、美国本土POD白牌层候选（<100张的永久履约层；125张档零售锚~$78，40%毛利需进货≤$47——公开条款下无一家达标）
候选,白牌/经销条款,毛利判断,下一步
4over,7家中唯一trade-only批发商：转售证书+人工审批+年审、默认全程白牌、完整下单API,"唯一结构性可能支撑40%毛利者，但实价锁登录墙未验证；注意其标准贴纸为70lb纸质crack-and-peel、卷标限3""芯/6""外径，与主流vinyl die-cut有质感错位",注册经销账户（需美国转售证书）——美国侧唯一go/no-go未知数
StickerGiant,免费盲发+转售证书免税；明确无批发/经销折扣,进货=零售价（~$0.28/张@250张，毛利33–34%），只能做品牌溢价非折扣套利,零门槛即插即用，验证期可直接用
Smartpress,正式Reseller计划：盲发+免税+专属客服，无公开折扣率,未知,询价折扣率
Lightning Labels,正式reseller计划+盲发+50张起，条款明确,未知,补入候选、询价
Sttark（=Frontier，2022-08更名同一家）,最低订单约$260（FAQ实抓）,不覆盖125张小单档,特定品类（卷标）询价对象
Blue Label,折扣条款全部一对一询价，无公开trade条款,未知,邮件询价折扣与盲发

四、能力缺口→需新增的供应商类型
"① BPI认证可堆肥标签材料：全美在证定制胶粘标签为零（Elevate证书≤2024-04失效）；先用""欧洲认证+ASTM合规声称""面材试卖，验证付费意愿再评估自建BPI"
② 食品/饮品级HP Indigo数码卷标厂（FDA迁移测试报告）：华南Indigo装机圈层（佛山Doit/东莞宏感所在圈层）实地RFQ + 华鑫美有条件核验
③ 美国白牌POD合作方：4over注册实价是唯一go/no-go未知数
"核验边界：FSC与TÜV Austria两库因技术原因未完成有效检索；中国厂普遍以中文法定名/母公司名义持证，存在系统性漏检——""查无""≠""证伪""，复议以对方提交证书编号为前提"
