供应链 0→1 Playbook 执行跟踪（阶段→动作→gate；详细操作见报告 E 节；2026-07-02）,,,,
阶段,动作,Gate（通过标准）,本项目状态,备注/负责
0 需求定义,选定 3 个测试 SKU（3×3 die-cut vinyl / 2寸圆 BOPP 卷标 / 3×3 全息）,规格完整可写进 RFQ,✅ 完成,源自 A3 规格矩阵
0 需求定义,定采购价上限（100张≤$0.08 / 500张≤$0.05 / 1000张≤$0.03）,超上限报价直接砍,✅ 完成,从成本模型倒推
0 需求定义,质量标准写死（色差/刀线≤0.5mm/防水24h）,可直接入 PI,✅ 完成,
1 寻源,Alibaba/MIC/GS 搜数码印刷贴纸厂 15–30 家,每家有直达联系方式,✅ 完成,12 家实核 + 24 家扩充池（2026-07-03·6 路猎源）= 36 家·gate 达标
1 寻源,ImportYeti/Panjiva 提单反查对美真实供货厂,至少交叉验证头部候选,✅ 完成,曾证伪 LabelPrintingChina
2 初筛,一票否决红旗扫查（无法定名/设备矛盾/低于物理成本价）,无红旗者进入评分,✅ 完成,华鑫美触发设备矛盾→有条件
2 初筛,评分卡打分（≥75 发盘 / 55–74 补尽调 / <55 弃）,产出 5–8 家发盘名单,✅ 完成,Stickerhome 79 分唯一直接过
2 初筛,扩充池 24 家全筛（域名年龄+提单库+认证库三查+评分卡复核）,PASS 13 家优先·产出新增发盘名单,⏳ 排程中,扩充池现有分数系线上初筛级·不可直接对比
1 寻源,核验用户提供的 Accio AI sourcing 10 家候选（去重+红旗+CPC/UL实见取证）,识别重复主体+确认安全认证真伪,✅ 完成,2 家判重复剔除·净增 8 家·池子达 44 家；Jiangsu OPT 的 UL 认证经官方库实证
3 建联RFQ,给 Stickerhome 发 E1 询盘信（3寸圆+哑膜三档）,收到逐项 PI,⏳ 下一步,同步索营业执照+TÜV 报告
3 建联RFQ,向华鑫美索 FSC-C 编号+FDA 迁移报告号+Indigo 序列号,证据齐全才发盘,⏳ 下一步,拒交=降级
3 建联RFQ,文件处理能力实测（埋 3 个问题的测试文件）,逐项指出问题=过,未开始,测 prepress 能力
3 建联RFQ,收齐 ≥3 份逐项 PI 并互压议价,真实采购价回填成本模型,未开始,表格自动重算毛利
4 打样,付费打样 2–3 家（同一文件横向可比）,≥1 家全项通过,未开始,¥200 报销用在这
4 打样,样品实测（色差/刀线/胶性/防水/耐刮 5 项）,全项通过才进首单,未开始,
5 资质核验,证书编号逐项核（FSC info.fsc.org / 认监委 / 实验室）,官网可查或书面承认无证,部分,查无≠证伪
5 资质核验,营业执照→企查查核成立时间/经营范围/涉诉,无重大涉诉,未开始,
5 资质核验,视频验厂（走车间+拍设备铭牌+看在产订单）,设备与宣称一致,未开始,年采>$5万再做付费验厂
6 首单合同,100 张试单（测改稿响应/状态汇报/交期兑现）,交期兑现且与样品一致,未开始,买流程数据不是买货
6 首单合同,PI 9 要素齐全（含质量条款与售后条款）,签回存档,未开始,永不 100% 前 TT
7 物流清关,首单走空运 DDP（PI 列明关税已含由卖方申报）,首单落仓,未开始,量级规则见报告 E 阶段7
7 物流清关,实际到岸成本回填成本模型,模型由假设转实证,未开始,07-24 关税落点后重算
8 验收复购,到货抽检（≤1000 张全检外观+3% 功能；拆箱录像）,合格率 ≥97%,未开始,
8 验收复购,确立主备双供应商（70/30 持续走量）,备份在库有单,未开始,季度比价·年度重谈
美国POD层（并行）,注册 4over 经销账户（需美国转售证书）拿实价,40% 毛利可闭环=go,⏳ 待办,该层唯一 go/no-go 未知数
美国POD层（并行）,邮件确认 Blue Label/OnlineLabels/Lightning/Smartpress trade 条款,拿到书面折扣与盲发确认,⏳ 待办,
美国POD层（并行）,人肉转单 SOP 上线（字段映射表+2pm ET 截单+转单台账+盲发自寄验证）,首单盲发验证通过,未开始,E0.5
美国POD层（并行）,切 API gate：日单>20 或人工错单率>2% → 启动 4over API 对接,API 对接启动,未开始,E0.5
设计协助路由（并行）,定义三分支路由规则（供应商内部/供应商收费重绘/外部vendor）,规则写入报告+RFQ模板,✅ 完成,E0.6·2026-07-04
设计协助路由（并行）,阶段3 RFQ 加入设计协助确认问题,并入 E1 标准模板,✅ 完成,E0.6·已改 E1
设计协助路由（并行）,注册/测试 Penji Business 账号验证分支③交付质量,首单样稿达标,⏳ 待办,分支③主力候选
设计协助路由（并行）,实测 4 家已确认供应商（华鑫美/Best4U/HengLi/GuangzhouLabel）分支①②真实响应质量,响应质量达标转入常态路由,⏳ 待办,3 家未确认(Stickerhome/Zolo/JiangsuOPT)先按分支③处理
